problem_size,n1s1,n2s1,n2s2
0,3.52,0.45,0.45
1,3.58,0.59,0.51
2,3.56,0.75,0.50
4,3.58,0.75,0.50
8,3.66,0.74,0.50
16,3.68,0.85,0.48
32,3.73,0.85,0.49
64,3.89,0.93,0.52
128,4.82,1.18,0.58
256,5.30,1.41,0.62
512,6.12,1.99,0.89
1024,7.31,2.92,1.05
2048,9.78,4.69,1.35
4096,12.59,5.21,4.03
8192,18.49,6.11,4.85
16384,26.21,7.91,6.60
32768,36.69,10.56,9.29
65536,57.72,16.15,14.71
131072,100.50,26.74,25.40
262144,187.05,49.32,46.60
524288,357.90,93.71,90.72
1048576,700.58,180.65,185.00
2097152,1379.33,387.58,1300.24
4194304,2743.36,2668.46,2908.96

